Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2025-01-22 05:00:00+00:00,2767.199951171875,2768.5,2766.5,2768.300048828125,892
2025-01-22 05:15:00+00:00,2768.699951171875,2768.89990234375,2766.800048828125,2767.300048828125,484
2025-01-22 05:30:00+00:00,2769.699951171875,2770.10009765625,2767.89990234375,2768.60009765625,1128
2025-01-22 05:45:00+00:00,2772.0,2772.300048828125,2769.5,2769.699951171875,2013
2025-01-22 06:00:00+00:00,2766.199951171875,2772.0,2766.199951171875,2771.800048828125,1655
2025-01-22 06:15:00+00:00,2762.199951171875,2766.199951171875,2760.5,2766.199951171875,3054
2025-01-22 06:30:00+00:00,2763.89990234375,2764.5,2761.60009765625,2762.10009765625,1056
2025-01-22 06:45:00+00:00,2762.800048828125,2763.89990234375,2761.699951171875,2763.800048828125,715
2025-01-22 07:00:00+00:00,2765.199951171875,2765.5,2761.89990234375,2762.800048828125,1235
2025-01-22 07:15:00+00:00,2765.199951171875,2765.699951171875,2763.199951171875,2765.39990234375,857
2025-01-22 07:30:00+00:00,2765.0,2766.10009765625,2764.39990234375,2765.199951171875,557
2025-01-22 07:45:00+00:00,2761.60009765625,2766.5,2760.5,2764.89990234375,2389
2025-01-22 08:00:00+00:00,2763.300048828125,2763.800048828125,2759.5,2761.800048828125,1826
2025-01-22 08:15:00+00:00,2765.199951171875,2765.800048828125,2763.199951171875,2763.300048828125,1022
2025-01-22 08:30:00+00:00,2765.89990234375,2767.0,2765.10009765625,2765.199951171875,1537
2025-01-22 08:45:00+00:00,2766.89990234375,2767.10009765625,2764.800048828125,2766.0,1648
2025-01-22 09:00:00+00:00,2767.699951171875,2769.89990234375,2766.699951171875,2766.800048828125,1996
2025-01-22 09:15:00+00:00,2772.89990234375,2773.300048828125,2767.89990234375,2767.89990234375,2152
2025-01-22 09:30:00+00:00,2772.800048828125,2773.10009765625,2770.699951171875,2772.800048828125,1634
2025-01-22 09:45:00+00:00,2771.0,2773.0,2770.39990234375,2772.89990234375,2082
2025-01-22 10:00:00+00:00,2770.5,2772.699951171875,2770.300048828125,2770.89990234375,1049
2025-01-22 10:15:00+00:00,2772.10009765625,2772.60009765625,2769.0,2770.5,2545
2025-01-22 10:30:00+00:00,2771.39990234375,2774.39990234375,2771.199951171875,2771.89990234375,2268
2025-01-22 10:45:00+00:00,2771.300048828125,2771.5,2769.300048828125,2771.5,1032
2025-01-22 11:00:00+00:00,2770.699951171875,2771.699951171875,2768.89990234375,2771.39990234375,1959
2025-01-22 11:15:00+00:00,2769.5,2770.89990234375,2768.0,2770.5,1009
2025-01-22 11:30:00+00:00,2768.5,2769.699951171875,2768.0,2769.699951171875,1403
2025-01-22 11:45:00+00:00,2768.199951171875,2769.300048828125,2767.89990234375,2768.5,1783
2025-01-22 12:00:00+00:00,2764.800048828125,2768.39990234375,2764.39990234375,2768.39990234375,1929
2025-01-22 12:15:00+00:00,2765.199951171875,2766.5,2764.5,2764.699951171875,1062
2025-01-22 12:30:00+00:00,2768.60009765625,2769.60009765625,2763.0,2765.300048828125,2709
2025-01-22 12:45:00+00:00,2770.10009765625,2770.60009765625,2766.89990234375,2768.5,1507
2025-01-22 13:00:00+00:00,2769.89990234375,2774.199951171875,2768.300048828125,2770.0,4014
2025-01-22 13:15:00+00:00,2763.5,2770.39990234375,2763.5,2769.800048828125,3869
2025-01-22 13:30:00+00:00,2763.300048828125,2765.0,2759.800048828125,2763.300048828125,5454
2025-01-22 13:45:00+00:00,2767.800048828125,2768.5,2762.0,2763.300048828125,3531
2025-01-22 14:00:00+00:00,2763.39990234375,2768.60009765625,2763.0,2767.800048828125,3205
2025-01-22 14:15:00+00:00,2765.89990234375,2767.10009765625,2762.300048828125,2763.60009765625,3732
2025-01-22 14:30:00+00:00,2764.39990234375,2766.699951171875,2759.60009765625,2765.89990234375,7562
2025-01-22 14:45:00+00:00,2763.60009765625,2768.89990234375,2762.89990234375,2764.39990234375,4193
2025-01-22 15:00:00+00:00,2763.300048828125,2765.5,2761.10009765625,2763.5,5237
2025-01-22 15:15:00+00:00,2766.39990234375,2766.89990234375,2761.300048828125,2763.300048828125,3068
